-----------------------------------------------------------
Server listening on 9002 (test #1)
-----------------------------------------------------------
Accepted connection from 10.113.0.2, port 45877
[  6] local 10.113.0.1 port 9002 connected to 10.113.0.2 port 41236
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  6]  88.00-89.00  sec   120 KBytes   985 Kbits/sec  0.130 ms  1301/1386 (94%)  
[  6]  89.00-90.00  sec   119 KBytes   972 Kbits/sec  1.624 ms  1285/1369 (94%)  
[  6]  90.00-91.00  sec   120 KBytes   985 Kbits/sec  0.277 ms  1303/1388 (94%)  
[  6]  91.00-92.00  sec   120 KBytes   985 Kbits/sec  0.337 ms  1300/1385 (94%)  
[  6]  92.00-93.00  sec   119 KBytes   973 Kbits/sec  0.153 ms  1286/1370 (94%)  
[  6]  93.00-94.00  sec   120 KBytes   985 Kbits/sec  0.349 ms  1302/1387 (94%)  
[  6]  94.00-95.00  sec   120 KBytes   984 Kbits/sec  1.522 ms  1302/1387 (94%)  
[  6]  95.00-96.00  sec   120 KBytes   985 Kbits/sec  0.180 ms  1300/1385 (94%)  
[  6]  96.00-97.00  sec   119 KBytes   973 Kbits/sec  0.322 ms  1286/1370 (94%)  
[  6]  97.00-98.00  sec   120 KBytes   984 Kbits/sec  0.301 ms  1301/1386 (94%)  
[  6]  98.00-99.00  sec   120 KBytes   985 Kbits/sec  0.166 ms  1301/1386 (94%)  
[  6]  99.00-100.00 sec   119 KBytes   971 Kbits/sec  1.642 ms  1286/1370 (94%)  
[  6] 100.00-101.00 sec   120 KBytes   987 Kbits/sec  0.259 ms  1302/1387 (94%)  
[  6] 101.00-102.00 sec   120 KBytes   984 Kbits/sec  0.176 ms  1301/1386 (94%)  
[  6] 102.00-103.00 sec   119 KBytes   973 Kbits/sec  0.372 ms  1285/1369 (94%)  
[  6] 103.00-104.00 sec   120 KBytes   985 Kbits/sec  0.184 ms  1303/1388 (94%)  
[  6] 104.00-105.00 sec   120 KBytes   984 Kbits/sec  1.214 ms  1295/1380 (94%)  
[  6] 105.00-106.00 sec   119 KBytes   973 Kbits/sec  0.181 ms  1291/1375 (94%)  
[  6] 106.00-107.00 sec   120 KBytes   985 Kbits/sec  0.196 ms  1302/1387 (94%)  
[  6] 107.00-108.00 sec   120 KBytes   985 Kbits/sec  0.196 ms  1302/1387 (94%)  
[  6] 108.00-109.00 sec   120 KBytes   985 Kbits/sec  0.284 ms  1301/1386 (94%)  
[  6] 109.00-110.00 sec   119 KBytes   972 Kbits/sec  0.879 ms  1286/1370 (94%)  
[  6] 110.00-111.00 sec   120 KBytes   985 Kbits/sec  0.574 ms  1301/1386 (94%)  
[  6] 111.00-112.00 sec   120 KBytes   985 Kbits/sec  0.248 ms  1302/1387 (94%)  
[  6] 112.00-113.00 sec   119 KBytes   973 Kbits/sec  0.256 ms  1286/1370 (94%)  
[  6] 113.00-114.00 sec   120 KBytes   985 Kbits/sec  0.239 ms  1302/1387 (94%)  
[  6] 114.00-115.00 sec   120 KBytes   985 Kbits/sec  1.515 ms  1300/1385 (94%)  
[  6] 115.00-116.00 sec   119 KBytes   973 Kbits/sec  0.262 ms  1288/1372 (94%)  
[  6] 116.00-117.00 sec   120 KBytes   984 Kbits/sec  0.163 ms  1299/1384 (94%)  
[  6] 117.00-118.00 sec   120 KBytes   985 Kbits/sec  0.306 ms  1303/1388 (94%)  
[  6] 118.00-119.00 sec   119 KBytes   973 Kbits/sec  0.255 ms  1286/1370 (94%)  
[  6] 119.00-120.00 sec   120 KBytes   985 Kbits/sec  0.274 ms  1301/1386 (94%)  
[  6] 120.00-121.00 sec   120 KBytes   985 Kbits/sec  0.228 ms  1301/1386 (94%)  
[  6] 121.00-122.00 sec   119 KBytes   973 Kbits/sec  0.535 ms  1286/1370 (94%)  
[  6] 122.00-123.00 sec   120 KBytes   985 Kbits/sec  0.229 ms  1302/1387 (94%)  
[  6] 123.00-124.00 sec   120 KBytes   985 Kbits/sec  0.212 ms  1302/1387 (94%)  
[  6] 124.00-125.00 sec   119 KBytes   973 Kbits/sec  1.421 ms  1284/1368 (94%)  
[  6] 125.00-126.00 sec   120 KBytes   985 Kbits/sec  0.250 ms  1301/1386 (94%)  
[  6] 126.00-127.00 sec   120 KBytes   985 Kbits/sec  0.556 ms  1303/1388 (94%)  
[  6] 127.00-128.00 sec   120 KBytes   985 Kbits/sec  0.270 ms  1300/1385 (94%)  
[  6] 128.00-129.00 sec   119 KBytes   973 Kbits/sec  0.221 ms  1287/1371 (94%)  
[  6] 129.00-130.00 sec   120 KBytes   985 Kbits/sec  0.696 ms  1300/1385 (94%)  
[  6] 130.00-131.00 sec   120 KBytes   984 Kbits/sec  0.268 ms  1300/1385 (94%)  
[  6] 131.00-132.00 sec   119 KBytes   973 Kbits/sec  0.306 ms  1288/1372 (94%)  
[  6] 132.00-133.00 sec   120 KBytes   985 Kbits/sec  0.230 ms  1300/1385 (94%)  
[  6] 133.00-134.00 sec   120 KBytes   985 Kbits/sec  0.188 ms  1303/1388 (94%)  
[  6] 134.00-135.00 sec   119 KBytes   973 Kbits/sec  0.776 ms  1286/1370 (94%)  
[  6] 135.00-136.00 sec   120 KBytes   985 Kbits/sec  0.450 ms  1302/1387 (94%)  
[  6] 136.00-137.00 sec   120 KBytes   985 Kbits/sec  0.279 ms  1300/1385 (94%)  
